parcela,latitude,longitude,fisionomia,fenologia,complementos,ambiente,lenhosa dominante,herbácea dominante,estiagem,erosão,fogo,desmatamento,pastoreio/herbivoria,inundação,observação,paisagem
1,-9.170225,-39.855621,floresta densa,semidecídua,"com lianas, sub-bosque e serrapilheira densa",ribeirinho sazonal,"caraibeira, marizeiro e catingueira",malvas,1,3,0,0,1,1,riacho da melancia,"floresta densa semidecídua com lianas, sub-bosque e serrapilheira densa sobre ambiente ribeirinho sazonal, influenciado por erosão severa e estiagem leve"
2,-9.169857,-39.862073,floresta densa,semidecídua,"com lianas, sub-bosque e serrapilheira",ribeirinho sazonal,caraibeira e catingueira,,1,3,0,0,1,1,riacho da melancia,"floresta densa semidecídua com lianas, sub-bosque e serrapilheira sobre ambiente ribeirinho sazonal, influenciado por erosão severa e estiagem leve"
3,-9.170787,-39.864044,floresta densa,semidecídua,sub-bosque,ribeirinho sazonal,caraibeira e catingueira,,1,3,0,0,1,1,riacho da melancia,"floresta densa semidecídua sub-bosque sobre ambiente ribeirinho sazonal, influenciado por erosão severa e estiagem leve"
4,-9.17312,-39.8678,arbustal denso,decíduo,com plantas emergentes,pedregoso com calhaus,marmeleiro,capim panásco,2,0,0,0,2,0,,"arbustal denso decíduo com plantas emergentes sobre ambiente pedregoso com calhaus, influenciado por estiagem moderada e pastoreio/herbivoria moderada"
5,-9.1758,-39.86807,arbustal denso,decíduo,com plantas emergentes,pedregoso com calhaus,marmeleiro,urtiga branca,2,0,0,0,2,0,,"arbustal denso decíduo com plantas emergentes sobre ambiente pedregoso com calhaus, influenciado por estiagem moderada e pastoreio/herbivoria moderada"
6,-9.17831,-39.86839,arbustal denso,decíduo,com plantas emergentes com facherais ocasionais,pedregoso com calhaus,marmeleiro,capim panásco,2,0,0,0,2,0,,"arbustal denso decíduo com plantas emergentes com facherais ocasionais sobre ambiente pedregoso com calhaus, influenciado por estiagem moderada e pastoreio/herbivoria moderada"
7,-9.16917,-39.85206,arbustal denso,decíduo,com plantas emergentes ,pedregoso com calhaus,marmeleiro,capim panásco,2,0,0,0,2,0,,"arbustal denso decíduo com plantas emergentes  sobre ambiente pedregoso com calhaus, influenciado por estiagem moderada e pastoreio/herbivoria moderada"
8,-9.16637,-39.85001,arbustal denso,decídua,,carbonático,catingueira rasteira,capim panásco,2,0,0,0,3,0,,"arbustal denso decídua  sobre ambiente carbonático, influenciado por pastoreio/herbivoria severa e estiagem moderada"
9,-9.16282,-39.84445,arbustal denso,decídua,,carbonático,ervaço e catinguera,,2,0,0,0,2,0,,"arbustal denso decídua  sobre ambiente carbonático, influenciado por estiagem moderada e pastoreio/herbivoria moderada"
10,-9.15967,-39.84355,arbustal denso,decídua,com plantas emergentes ,carbonático,"ervaço e catingueura rasteira, umbuzeiro",,2,0,0,1,2,0,,"arbustal denso decídua com plantas emergentes  sobre ambiente carbonático, influenciado por estiagem moderada e pastoreio/herbivoria moderada"
